Project_name,Tool_name,CWE_ID,Number of Findings,Is_In_CWE_Top_25?
yolov10,Semgrep,CWE-377,2,No
yolov10,Semgrep,CWE-78,8,Yes
yolov10,Semgrep,CWE-345,1,No
yolov10,Semgrep,CWE-95,8,No
yolov10,Semgrep,CWE-706,1,No
yolov10,Semgrep,CWE-96,1,No
yolov10,Semgrep,CWE-939,2,No
yolov10,Bandit,CWE-377,4,No
yolov10,Bandit,CWE-78,56,Yes
yolov10,Bandit,CWE-703,224,No
yolov10,Bandit,CWE-330,24,No
yolov10,Bandit,CWE-89,1,Yes
yolov10,Bandit,CWE-400,8,Yes
yolov10,Bandit,CWE-502,9,Yes
yolov10,Bandit,CWE-22,2,Yes
yolov10,CodeQL,CWE-023,1,No
yolov10,CodeQL,CWE-036,1,No
yolov10,CodeQL,CWE-099,1,No
yolov10,CodeQL,CWE-022,1,No
yolov10,CodeQL,CWE-073,1,No
yolov10,CodeQL,CWE-377,2,No
yolov10,CodeQL,CWE-772,1,No
yolov10,CodeQL,CWE-563,19,No
marker,Semgrep,CWE-706,4,No
marker,Semgrep,CWE-78,1,Yes
marker,Semgrep,CWE-95,1,No
marker,Bandit,CWE-494,12,No
marker,Bandit,CWE-400,13,Yes
marker,Bandit,CWE-703,208,No
marker,Bandit,CWE-78,19,Yes
marker,Bandit,CWE-377,5,No
marker,CodeQL,CWE-497,2,No
marker,CodeQL,CWE-209,2,No
marker,CodeQL,CWE-581,1,No
marker,CodeQL,CWE-390,4,No
marker,CodeQL,CWE-563,1,No
GPT-SoVITS,Semgrep,CWE-250,1,No
GPT-SoVITS,Semgrep,CWE-95,13,No
GPT-SoVITS,Semgrep,CWE-502,5,Yes
GPT-SoVITS,Semgrep,CWE-732,8,No
GPT-SoVITS,Semgrep,CWE-327,1,No
GPT-SoVITS,Semgrep,CWE-78,18,Yes
GPT-SoVITS,Bandit,CWE-703,198,No
GPT-SoVITS,Bandit,CWE-502,58,Yes
GPT-SoVITS,Bandit,CWE-330,15,No
GPT-SoVITS,Bandit,CWE-78,55,Yes
GPT-SoVITS,Bandit,CWE-494,17,No
GPT-SoVITS,Bandit,CWE-20,3,Yes
GPT-SoVITS,Bandit,CWE-605,6,No
GPT-SoVITS,Bandit,CWE-327,3,No
GPT-SoVITS,Bandit,CWE-400,1,Yes
GPT-SoVITS,CodeQL,CWE-023,60,No
GPT-SoVITS,CodeQL,CWE-036,60,No
GPT-SoVITS,CodeQL,CWE-099,60,No
GPT-SoVITS,CodeQL,CWE-022,60,No
GPT-SoVITS,CodeQL,CWE-073,60,No
GPT-SoVITS,CodeQL,CWE-088,10,No
GPT-SoVITS,CodeQL,CWE-078,10,No
GPT-SoVITS,CodeQL,CWE-497,5,No
GPT-SoVITS,CodeQL,CWE-209,5,No
GPT-SoVITS,CodeQL,CWE-502,7,Yes
GPT-SoVITS,CodeQL,CWE-400,1,Yes
GPT-SoVITS,CodeQL,CWE-730,1,No
GPT-SoVITS,CodeQL,CWE-117,7,No
GPT-SoVITS,CodeQL,CWE-396,62,No
GPT-SoVITS,CodeQL,CWE-390,25,No
GPT-SoVITS,CodeQL,CWE-570,4,No
GPT-SoVITS,CodeQL,CWE-571,4,No
GPT-SoVITS,CodeQL,CWE-561,22,No
GPT-SoVITS,CodeQL,CWE-685,3,No
GPT-SoVITS,CodeQL,CWE-772,10,No
GPT-SoVITS,CodeQL,CWE-563,71,No
